country,country_code,country_iso,prefix,voice_rate_in_usd,voice_unit_in_seconds
Bulgaria,359,BGR,35959449,0.0228,60
Bulgaria,359,BGR,359595289,0.00702,60
Bulgaria,359,BGR,35959529,0.00702,60
Bulgaria,359,BGR,3595965,0.0228,60
Bulgaria,359,BGR,359596890,0.00702,60
Bulgaria,359,BGR,3596015,0.0228,60
Bulgaria,359,BGR,3596017,0.0228,60
Bulgaria,359,BGR,3596019,0.0228,60
Bulgaria,359,BGR,35960398,0.0228,60
Bulgaria,359,BGR,359603989,0.00702,60
Bulgaria,359,BGR,35960399,0.00702,60
Bulgaria,359,BGR,3596058,0.0228,60
Bulgaria,359,BGR,35960718,0.0228,60
Bulgaria,359,BGR,35960719,0.0228,60
Bulgaria,359,BGR,3596085,0.0228,60
Bulgaria,359,BGR,3596109,0.0228,60
Bulgaria,359,BGR,35961149,0.00702,60
Bulgaria,359,BGR,35961179,0.00702,60
Bulgaria,359,BGR,359613689,0.00702,60
Bulgaria,359,BGR,35961369,0.00702,60
Bulgaria,359,BGR,35961418,0.0228,60
Bulgaria,359,BGR,359614189,0.00702,60
Bulgaria,359,BGR,35961419,0.00702,60
Bulgaria,359,BGR,35961519,0.0228,60
Bulgaria,359,BGR,35961539,0.00702,60
Bulgaria,359,BGR,359616189,0.00702,60
Bulgaria,359,BGR,35961619,0.0228,60
Bulgaria,359,BGR,3596189,0.0228,60
Bulgaria,359,BGR,3596199,0.0228,60
Bulgaria,359,BGR,359625,0.0228,60
Bulgaria,359,BGR,3596319,0.0228,60
Bulgaria,359,BGR,359649,0.0228,60
Bulgaria,359,BGR,3596509,0.0228,60
Bulgaria,359,BGR,35965138,0.0228,60
Bulgaria,359,BGR,359651389,0.00702,60
Bulgaria,359,BGR,35965139,0.00702,60
Bulgaria,359,BGR,35965148,0.0228,60
Bulgaria,359,BGR,359651489,0.00702,60
Bulgaria,359,BGR,35965149,0.0228,60
Bulgaria,359,BGR,35965159,0.0228,60
Bulgaria,359,BGR,359651689,0.00702,60
Bulgaria,359,BGR,35965169,0.00702,60
Bulgaria,359,BGR,359654189,0.00702,60
Bulgaria,359,BGR,35965419,0.0228,60
Bulgaria,359,BGR,359655190,0.00702,60
Bahamas,1242,BHS,1242429,0.25,60
Bahamas,1242,BHS,1242431,0.1963,60
Bahamas,1242,BHS,1242432,0.1963,60
Bahamas,1242,BHS,1242433,0.1963,60
Bahamas,1242,BHS,1242434,0.2266,60
Bahamas,1242,BHS,1242435,0.1963,60
Bahamas,1242,BHS,1242436,0.1963,60
Bahamas,1242,BHS,1242437,0.1963,60
Bahamas,1242,BHS,1242438,0.1963,60
Bahamas,1242,BHS,1242439,0.1963,60
Bahamas,1242,BHS,1242441,0.1963,60
Bahamas,1242,BHS,1242442,0.2266,60
Bahamas,1242,BHS,1242443,0.2266,60
Bahamas,1242,BHS,1242445,0.1963,60
Bahamas,1242,BHS,1242446,0.1963,60
Bahamas,1242,BHS,1242447,0.1963,60
Bahamas,1242,BHS,1242448,0.2266,60
Bahamas,1242,BHS,1242449,0.1963,60
Bahamas,1242,BHS,1242451,0.1963,60
Bahamas,1242,BHS,1242452,0.1963,60
Bahamas,1242,BHS,1242453,0.1963,60
Bahamas,1242,BHS,1242454,0.1963,60
Bahamas,1242,BHS,1242455,0.1963,60
Bahamas,1242,BHS,1242456,0.2266,60
Bahamas,1242,BHS,1242457,0.1963,60
Bahamas,1242,BHS,1242458,0.1963,60
